from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
<=0.59.x,8.1.46715,8.1.0.46715,822306851,2017-06-23T13:28:48,0.63.x,8.79.92,8.79.0.92,845553986,2021-11-24T10:09:12
0.63.x,8.82.403,8.82.0.403,847669772,2022-03-10T09:47:08,0.66.x,8.83.408,8.83.0.408,848201751,2022-04-13T11:35:58
0.66.x,8.96.3409,8.96.0.409,856507877,2023-04-19T04:17:08,0.71.x,8.97.3203,8.97.0.203,856630693,2023-04-21T07:14:50
