app_slug,app_name,bundle_id,app_version,app_build,build_timestamp,external_version_id,rn_guess,confidence,decrypted_coverage,dump_sha256,dump_size_bytes,source_ipa_size_bytes,main_app_uncompressed_bytes,main_app_compressed_member_bytes,main_app_compressed_pct_uncompressed,total_uncompressed_bytes,total_compressed_member_bytes,macho_total_bytes,main_executable_bytes,main_executable_compressed_bytes,main_executable_pct_main_app,js_bundle_bytes,js_bundle_compressed_bytes,js_bundle_compressed_pct_uncompressed,rn_js_file_count,rn_named_native_bytes,rn_named_native_compressed_bytes,rn_named_native_compressed_pct_uncompressed,rn_named_native_file_count,direct_rn_payload_bytes,direct_rn_payload_compressed_bytes,direct_rn_payload_compressed_pct_uncompressed,direct_rn_payload_pct_main_app,direct_rn_payload_compressed_pct_main_app_compressed,direct_rn_payload_pct_source_ipa,direct_rn_payload_compressed_pct_source_ipa,direct_rn_payload_compressed_pct_dump_ipa,js_bundle_pct_direct_rn_payload,rn_named_native_pct_direct_rn_payload,rn_carrier_macho_bytes,rn_carrier_macho_compressed_bytes,rn_carrier_macho_compressed_pct_dump_ipa,rn_carrier_macho_pct_macho,rn_carrier_macho_pct_main_app,rn_carrier_macho_count,rn_carrier_macho_members,rn_evidence_class,static_linked_rn_likely,remaining_encrypted_appex_count,remaining_encrypted_non_extension_count,rn_js_members,rn_named_native_members,notes,dump_report,dump_ipa
mattermost,Mattermost,com.mattermost.rn,2.40.0,749,2026-05-05T16:18:52,885697976,0.77.x,medium,,b8eb3df9ea70da6450f78807cef89940ba830b1ae823a96dac2174db0bf6f790,52983166,61860480,80853662,43878726,54.27,94101586,52899124,,17318384,6762785,21.42,29830115,11317740,37.94,1,4701776,2537450,53.97,1,34531891,13855190,40.12,42.71,31.58,55.82,22.40,26.15,86.38,13.62,4701776,2537450,4.79,,5.82,0,,versioned_rn,false,0,0,Payload/Mattermost.app/main.jsbundle,Payload/Mattermost.app/Frameworks/hermes.framework/hermes,accepted dump predates decrypted coverage classification,tmp/ios-dumps/com.mattermost.rn_2.40.0_749_frida-ipa-extract.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.mattermost.rn_2.40.0_749_frida-ipa-extract.ipa
skype,Skype,com.skype.skype,8.150.3125,8.150.0.125,2025-04-30T11:51:12,874426597,0.71.x,medium,loaded_app_decrypted,1801c56b93db02cfdea44818d05e74f35efc0813e1c29402d91abb0f96e70d59,80368892,128273650,175348765,73489437,41.91,183495318,80079714,105226912,63492160,26121725,36.21,31609519,11913437,37.69,1,4522160,1252748,27.70,1,36131679,13166185,36.44,20.61,17.92,28.17,10.26,16.38,87.48,12.52,68014320,27374473,34.06,64.64,38.79,2,Payload/Skype4Life.app/Frameworks/hermes.framework/hermes;Payload/Skype4Life.app/Skype4Life,versioned_rn,true,1,0,Payload/Skype4Life.app/main.jsbundle,Payload/Skype4Life.app/Frameworks/hermes.framework/hermes,,tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.ipa
skype,Skype,com.skype.skype,8.79.92,8.79.0.92,2021-11-24T10:09:12,845553986,0.63.x,medium,loaded_app_decrypted,26d6cd684fb0ac47f91689dd6957c8ca5aab40a2684433da0964e773247c324c,46340362,70273517,127434195,41884293,32.87,135895716,46063690,85705376,69287136,22896852,54.37,19132235,3913711,20.46,1,0,0,,0,19132235,3913711,20.46,15.01,9.34,27.23,5.57,8.45,100.00,0.00,69287136,22896852,49.41,80.84,54.37,1,Payload/Skype4Life.app/Skype4Life,versioned_rn,true,3,0,Payload/Skype4Life.app/main.jsbundle,,,tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.ipa
skype,Skype,com.skype.skype,8.97.3203,8.97.0.203,2023-04-21T07:14:50,856630693,0.71.x,medium,loaded_app_decrypted,9817cb07cb5d4e6061c78126084c31ed1a43483829b22bd579d88bb816c7f7a8,43058230,67730347,100614460,36534702,36.31,108695154,42780862,55300880,47681152,19892570,47.39,21448289,4435934,20.68,1,0,0,,0,21448289,4435934,20.68,21.32,12.14,31.67,6.55,10.30,100.00,0.00,47681152,19892570,46.20,86.22,47.39,1,Payload/Skype4Life.app/Skype4Life,versioned_rn,true,5,0,Payload/Skype4Life.app/main.jsbundle,,,tmp/ios-dumps/skype_8.97.3203_8.97.0.203_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.97.3203_8.97.0.203_frida-all.ipa
soundcloud,SoundCloud: The Music You Love,com.soundcloud.TouchApp,7.16.0,1243764,2023-10-23T05:24:54,860769428,unknown,low,loaded_app_decrypted,d62465b12bfa4f72c43b8cb64d97a822deadd7be5d0c582405f256ded36d7e6c,81143948,123301659,209588844,78586720,37.50,212392581,80804368,176185168,16162608,6089639,7.71,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,2,0,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers,tmp/ios-dumps/soundcloud_7.16.0_1243764_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_7.16.0_1243764_frida-all.ipa
soundcloud,SoundCloud: The Music You Love,com.soundcloud.TouchApp,7.44.0,1248257,2024-07-01T12:50:04,867031169,unknown,low,main_only_decrypted,5fb5569546388ffb83c4e1da21656d60d6721f35c00ff09fdfdfe7fdd90b5cfd,155338831,221132764,281127036,112908104,40.16,353289699,154998431,298677664,21925872,8518434,7.80,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,3,2,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/soundcloud_7.44.0_1248257_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_7.44.0_1248257_frida-all.ipa
soundcloud,SoundCloud: The Music You Love,com.soundcloud.TouchApp,8.32.0,1254310,2025-09-19T13:29:50,878206270,unknown,low,main_only_decrypted,92906b5526add6a009cdfd7d4ef54e3b711b5dc877e71598224347bb0d08ef8e,135160679,206700882,202288392,96525996,47.72,249172052,134795553,198997872,26536416,10868847,13.12,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,3,3,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/soundcloud_8.32.0_1254310_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_8.32.0_1254310_frida-all.ipa
soundcloud,SoundCloud: The Music You Love,com.soundcloud.TouchApp,8.5.0,1251600,2025-03-17T16:49:02,873297043,unknown,low,main_only_decrypted,9cf85a00792e4329d6f7cc5a01cb6ca7ad9fdd0e93521e8bb3ea9478908190f0,131693998,199176963,192089926,93813672,48.84,237943025,131335410,187018160,23298848,9219891,12.13,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,3,2,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/soundcloud_8.5.0_1251600_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/soundcloud_8.5.0_1251600_frida-all.ipa
soundcloud,SoundCloud: The Music You Love,com.soundcloud.TouchApp,8.62.0,1259079,2026-05-22T09:42:08,885918024,unknown,low,main_only_decrypted,343239acbacbfc891f0dc9bc9d8def5814a697f96f5ac42f7256e360b519b999,129522844,212796628,230581488,111185919,48.22,255700275,129155758,200606960,20323120,8064186,8.81,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,4,2,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/com.soundcloud.TouchApp_8.62.0_1259079_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.soundcloud.TouchApp_8.62.0_1259079_frida-ipa-extract-all-binaries.ipa
uber-eats,Uber Eats: Food & Groceries,com.ubercab.UberEats,6.281.10000,6.281.10000,2025-07-22T00:36:22,876620596,unknown,low,main_only_decrypted,649964924ece2f29ace54f2a49aaed0ea7fc147fb1cbfe44cc35abbf909457c9,168420488,279526541,326881604,136087251,41.63,361953694,162859742,274251168,220732928,88173854,67.53,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0,,no_rn_detected,false,4,1,,,negative/control row: no React Native evidence in current analyzer output no_js_or_native_rn_markers remaining encrypted non-extension Mach-O may hide additional bytes,tmp/ios-dumps/com.ubercab.UberEats_6.281.10000_6.281.10000_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.ubercab.UberEats_6.281.10000_6.281.10000_frida-ipa-extract-all-binaries.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.44.24,13440024,2025-11-28T17:28:02,880184267,0.79.x,medium,loaded_app_decrypted,1db95622680f368e44a08a1e753bf7f8f18ea961c3aa10d401d7e94b98e4dea3,103964481,150361620,273773491,95488759,34.88,283532757,103367045,129882640,70000784,27784038,25.57,92780909,32464864,34.99,1,4754496,1315292,27.66,1,97535405,33780156,34.63,35.63,35.38,64.87,22.47,32.49,95.13,4.87,78718384,30226476,29.07,60.61,28.75,3,Payload/Coinbase.app/Coinbase;Payload/Coinbase.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit;Payload/Coinbase.app/Frameworks/hermes.framework/hermes,versioned_rn,true,4,0,Payload/Coinbase.app/main.jsbundle,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,,tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.45.27,13450027,2025-12-04T22:32:52,880359975,0.60.x,medium,loaded_app_decrypted,37c6592ef4de0a48affb7420caef613196f5b67859073c7542e03ca9f7ad6019,104300009,150709838,274703623,95796188,34.87,284509970,103695329,129900944,70000800,27784461,25.48,93492823,32726001,35.00,1,4754496,1315292,27.66,1,98247319,34041293,34.65,35.76,35.54,65.19,22.59,32.64,95.16,4.84,78718400,30226897,28.98,60.60,28.66,3,Payload/Coinbase.app/Coinbase;Payload/Coinbase.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit;Payload/Coinbase.app/Frameworks/hermes.framework/hermes,versioned_rn,true,4,0,Payload/Coinbase.app/main.jsbundle,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,,tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,14.19.22,14190022,2026-05-20T22:20:56,885921388,0.60.x,medium,loaded_app_decrypted,630c465c4ec14fd8dd17fcfc8b7ae2a3b47406650c7d724e224a768223c75759,105486062,144533331,266103361,91942456,34.55,282135730,105057980,116944272,50470736,20290106,18.97,105007728,37665074,35.87,1,4754496,1315292,27.66,1,109762224,38980366,35.51,41.25,42.40,75.94,26.97,36.95,95.67,4.33,59188336,22732547,21.55,50.61,22.24,3,Payload/Coinbase.app/Coinbase;Payload/Coinbase.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit;Payload/Coinbase.app/Frameworks/hermes.framework/hermes,versioned_rn,true,4,0,Payload/Coinbase.app/main.jsbundle,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,,tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,7.3.5,2022.04.22.16,2022-04-22T09:27:38,848346625,unknown,low,loaded_app_decrypted,41377f3891a7b264bf00f26c3b1d07695a690d49da9d4ba1bafc50b01e24a991,29195325,39399120,53469425,22724636,42.50,60078933,29022713,33578352,13344768,4730049,24.96,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,13344768,4730049,16.20,39.74,24.96,1,Payload/Artsy.app/Artsy,native_rn_marker_without_version,true,2,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/artsy_7.3.5_2022.04.22.16_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/artsy_7.3.5_2022.04.22.16_frida-all.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,7.3.6,2022.05.11.16,2022-05-11T09:58:52,848649414,unknown,low,loaded_app_decrypted,16107b185266d798364838e17be2a06bbd4aa952d51e362d43338e87e339a318,29293805,39554027,53661174,22812434,42.51,60270682,29110505,33663248,13429664,4755245,25.03,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,13429664,4755245,16.23,39.89,25.03,1,Payload/Artsy.app/Artsy,native_rn_marker_without_version,true,2,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/artsy_7.3.6_2022.05.11.16_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/artsy_7.3.6_2022.05.11.16_frida-all.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,7.3.7,2022.05.25.17,2022-05-25T10:28:00,849466717,unknown,low,loaded_app_decrypted,b02d92a2141481dc352037ff2225f8425620fa4c89aad764d7670482680a6414,29584678,39866822,54145266,23102033,42.67,60754774,29400106,33697440,13463856,4768740,24.87,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,13463856,4768740,16.12,39.96,24.87,1,Payload/Artsy.app/Artsy,native_rn_marker_without_version,true,2,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/artsy_7.3.7_2022.05.25.17_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/artsy_7.3.7_2022.05.25.17_frida-all.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,7.3.8,2022.05.29.23,2022-05-29T16:38:04,849500699,unknown,low,loaded_app_decrypted,96adf49ce8b86840208d9f641e7d1be6304fa4d2e55c5e06b32cea0a6870ff78,29574496,39850218,54128566,23091859,42.66,60738074,29389924,33680640,13447056,4758553,24.84,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,13447056,4758553,16.09,39.93,24.84,1,Payload/Artsy.app/Artsy,native_rn_marker_without_version,true,2,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/artsy_7.3.8_2022.05.29.23_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/artsy_7.3.8_2022.05.29.23_frida-all.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,7.3.9,2022.06.03.16,2022-06-03T10:17:00,849701554,unknown,low,loaded_app_decrypted,b4e66b6ce0f99f9521a896b6f8dcaca388bb350d4e0c12a2f45a769b689c543d,28538122,37763098,51543155,22056350,42.79,58152663,28354408,30910800,13253456,4698571,25.71,0,0,,0,0,0,,0,0,0,,0.00,0.00,0.00,0.00,0.00,,,13253456,4698571,16.46,42.88,25.71,1,Payload/Artsy.app/Artsy,native_rn_marker_without_version,true,2,0,,,direct RN artifact floor is zero because RN appears statically linked into app-native Mach-O native_rn_marker_without_version,tmp/ios-dumps/net.artsy.artsy_7.3.9_2022.06.03.16_frida-ipa-extract-all-binaries.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/net.artsy.artsy_7.3.9_2022.06.03.16_frida-ipa-extract-all-binaries.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,9.9.0,2026.05.20.12.45,2026-05-20T12:59:44,885363722,0.81.x,high,loaded_app_decrypted,70657a0db10807135ca95f83b80e3bba655e3a5d5b028d8969caffa1a08c7a0e,49097699,78693845,105161511,46137783,43.87,108036365,48819073,77423520,37464512,14995958,35.63,12486648,5365095,42.97,1,4838384,1337627,27.65,1,17325032,6702722,38.69,16.47,14.53,22.02,8.52,13.65,72.07,27.93,46266000,17460737,35.56,59.76,44.00,3,Payload/Artsy.app/Artsy;Payload/Artsy.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit;Payload/Artsy.app/Frameworks/hermes.framework/hermes,versioned_rn,true,2,0,Payload/Artsy.app/main.jsbundle,Payload/Artsy.app/Frameworks/hermes.framework/hermes,,tmp/ios-dumps/artsy_9.9.0_2026.05.20.12.45_frida-all-patched.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/artsy_9.9.0_2026.05.20.12.45_frida-all-patched.ipa
