from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
0.63.x,9.21.4,92104,842088805,2021-05-05T21:46:38,0.71.x,12.23.13,12230013,866714202,2024-06-14T21:17:08
0.71.x,12.23.13,12230013,866714202,2024-06-14T21:17:08,0.74.x-0.76.x,13.21.10,13210010,875546596,2025-06-12T21:27:24
0.74.x-0.76.x,13.21.10,13210010,875546596,2025-06-12T21:27:24,0.77.x,13.26.10,13260010,876490192,2025-07-17T21:43:58
0.77.x,13.31.19,13310019,877462419,2025-08-21T21:30:28,0.79.x,13.41.21,13410021,879565881,2025-11-07T23:01:02
0.79.x,13.44.24,13440024,880184267,2025-11-28T17:28:02,0.60.x,13.45.27,13450027,880359975,2025-12-04T22:32:52
