from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
unknown,6.36.1,1,823969700,2017-10-10T14:13:02,<=0.59.x,6.37,4,824087289,2017-10-20T16:18:08
<=0.59.x,8.12.1,4,835482395,2020-04-09T18:34:12,0.60.x,8.13,4,835496563,2020-04-10T21:07:24
0.60.x,8.17,3,835859903,2020-05-08T15:52:18,0.61.x,8.18,3,836059322,2020-05-22T14:01:58
0.61.x,8.26,4,836781122,2020-07-24T18:54:40,0.63.x,8.27,4,837241595,2020-08-04T17:15:10
0.63.x,10.40,2,853081184,2022-11-01T16:41:56,unknown,10.41,2,853214823,2022-11-09T11:03:56
