from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
0.78.x,287.3.0.33.109,651148422,651148422,2024-10-12,0.60.x,341.0.0.17.107,806319963,806319963,2025-10-15
0.60.x,349.2.0.46.104,844730700,844730700,2025-12-16,<=0.59.x,360.0.0.23.322,892081967,892081967,2026-03-04
