ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
ipas/threads/threads_001_855897532_855897532.ipa,855897532,com.burbn.barcelona,289.0,489338310,2023-06-27T23:32:54,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_002_860015214_860015214.ipa,860015214,com.burbn.barcelona,302.0,519376635,2023-09-22T15:43:14,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_003_863430462_863430462.ipa,863430462,com.burbn.barcelona,318.0,565201703,2024-02-10T03:37:58,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_004_865653252_865653252.ipa,865653252,com.burbn.barcelona,330.0,595256915,2024-05-03T23:48:00,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_005_867990482_867990482.ipa,867990482,com.burbn.barcelona,344.0.0,631258810,2024-08-09T23:10:30,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_006_870508385_870508385.ipa,870508385,com.burbn.barcelona,359.0.0,666569846,2024-11-23T02:20:30,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_007_873427556_873427556.ipa,873427556,com.burbn.barcelona,373.0.0,711845629,2025-03-22T02:10:48,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_008_875824747_875824747.ipa,875824747,com.burbn.barcelona,387.0.0,755202338,2025-06-28T07:38:24,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_009_878332041_878332041.ipa,878332041,com.burbn.barcelona,400.0.0,797742903,2025-09-26T23:10:52,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_010_879918641_879918641.ipa,879918641,com.burbn.barcelona,408.0.1,830774060,2025-11-22T03:37:44,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_011_882713754_882713754.ipa,882713754,com.burbn.barcelona,418.1.0,890679309,2026-02-23T21:52:36,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/threads/threads_012_885819877_885819877.ipa,885819877,com.burbn.barcelona,431.0.0,979167741,2026-05-25T02:25:36,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
