rn_guess,react_renderer,confidence,start_app_version,start_app_build,start_external_version_id,start_build_timestamp,end_app_version,end_app_build,end_external_version_id,end_build_timestamp,build_count
unknown,,low,374.0.0.43.110,504412928,504412928,2025-04-01,382.0.0.51.85,505205644,505205644,2025-05-28,2
unknown,,unknown,400.0.0.38.68,507007017,507007017,2025-09-28,430.0.0.46.79,510007506,510007506,2026-05-19,10
