android_package,version_name,version_code,source,source_publish_date,source_publish_date_raw,download_url,package,package_file_type,package_size,supported_abis,split_metadata,manifest_metadata,apk_entries,js_bundle_paths,hermes_markers,react_native_libraries,native_symbol_markers,react_renderer,hbc_version,rn_guess,confidence,evidence_notes
com.instagram.barcelona,374.0.0.43.110,504412928,APKPure,2025-04-01,"Apr 1, 2025",https://apkpure.net/threads-app/com.instagram.barcelona/download/374.0.0.43.110,apks/threads/threads_504412928_374.0.0.43.110.apk,APK,64027026,arm64-v8a,APK,,threads_504412928_374.0.0.43.110.apk,,,arm64-v8a/libreact_featureflagsjni.so;arm64-v8a/libreactnativejni.so;arm64-v8a/libyoga.so;arm64-v8a/libyoga_internal.so;react_featureflagsjni;reactnativejni;yoga;yoga_internal,react_featureflagsjni;reactnativejni,,,unknown,low,"Android native/package metadata lists React Native-related libraries: arm64-v8a/libreact_featureflagsjni.so, arm64-v8a/libreactnativejni.so, arm64-v8a/libyoga.so, arm64-v8a/libyoga_internal.so, react_featureflagsjni, reactnativejni, yoga, yoga_internal Android native/package metadata contains markers: react_featureflagsjni, reactnativejni"
com.instagram.barcelona,423.3.0.54.66,509307092,APKPure,2026-04-02,"Apr 2, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/423.3.0.54.66,apks/threads/threads_509307092_423.3.0.54.66.xapk,XAPK,131287978,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509307092"",""version_name"":""423.3.0.54.66"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.mdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,424.0.0.48.68,509406750,APKPure,2026-04-06,"Apr 6, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/424.0.0.48.68,apks/threads/threads_509406750_424.0.0.48.68.xapk,XAPK,134565567,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509406750"",""version_name"":""424.0.0.48.68"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.xxxhdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,425.0.0.50.59,509506408,APKPure,2026-04-15,"Apr 15, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/425.0.0.50.59,apks/threads/threads_509506408_425.0.0.50.59.xapk,XAPK,130625167,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509506408"",""version_name"":""425.0.0.50.59"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.xxxhdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,426.0.0.36.67,509605895,APKPure,2026-04-21,"Apr 21, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/426.0.0.36.67,apks/threads/threads_509605895_426.0.0.36.67.xapk,XAPK,130317820,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509605895"",""version_name"":""426.0.0.36.67"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.mdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,427.0.0.48.72,509706902,APKPure,2026-04-27,"Apr 27, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/427.0.0.48.72,apks/threads/threads_509706902_427.0.0.48.72.xapk,XAPK,131885598,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509706902"",""version_name"":""427.0.0.48.72"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.mdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,427.1.0.49.72,509707018,APKPure,2026-04-30,"Apr 30, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/427.1.0.49.72,apks/threads/threads_509707018_427.1.0.49.72.xapk,XAPK,131918969,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509707018"",""version_name"":""427.1.0.49.72"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.mdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,428.0.0.46.66,509806628,APKPure,2026-05-04,"May 4, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/428.0.0.46.66,apks/threads/threads_509806628_428.0.0.46.66.xapk,XAPK,133345743,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509806628"",""version_name"":""428.0.0.46.66"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.xxhdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,429.0.0.43.72,509906926,APKPure,2026-05-12,"May 12, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download/429.0.0.43.72,apks/threads/threads_509906926_429.0.0.43.72.xapk,XAPK,134507241,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""509906926"",""version_name"":""429.0.0.43.72"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.xxhdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
com.instagram.barcelona,430.0.0.46.79,510007506,APKPure,2026-05-19,"May 19, 2026",https://apkpure.net/threads-app/com.instagram.barcelona/download,apks/threads/threads_510007506_430.0.0.46.79.xapk,XAPK,130371590,arm64-v8a,XAPK,"{""xapk_version"":2,""package_name"":""com.instagram.barcelona"",""name"":""Threads"",""locales_name"":{""af"":""Threads"",""ar"":""Threads"",""bg"":""Threads"",""cs"":""Threads"",""da"":""Threads"",""de"":""Threads"",""el"":""Threads"",""en-GB"":""Threads"",""es"":""Threads"",""es-ES"":""Threads"",""fa"":""Threads"",""fi"":""Threads"",""fr"":""Threads"",""fr-CA"":""Threads"",""hi"":""Threads"",""hr"":""Threads"",""hu"":""Threads"",""in"":""Threads"",""it"":""Threads"",""iw"":""Threads"",""ja"":""Threads"",""ko"":""Threads"",""ms"":""Threads"",""nb"":""Threads"",""nl"":""Threads"",""pl"":""Threads"",""pt"":""Threads"",""pt-PT"":""Threads"",""ro"":""Threads"",""ru"":""Threads"",""sk"":""Threads"",""sr"":""Threads"",""sr-Latn"":""Threads"",""sv"":""Threads"",""th"":""Threads"",""tl"":""Threads"",""tr"":""Threads"",""uk"":""Threads"",""vi"":""Threads"",""zh-CN"":""Threads"",""zh-HK"":""Threads"",""zh-TW"":""Threads""},""version_code"":""510007506"",""version_name"":""430.0.0.46.79"",""min_sdk_version"":""28"",""target_sdk_version"":""36"",""permissions"":[""android.permission.INTERNET"",""android.permission.ACCESS_NETWORK_STATE"",""android.permission.WAKE_LOCK"",""android.permission.GET_ACCOUNTS"",""android.permission.USE_CREDENTIALS"",""android.permission.RECEIVE_BOOT_COMPLETED"",""android.permission.VIBRATE"",""android.permission.FOREGROUND_SERVICE"",""com.google.android.c2dm.permission.RECEIVE"",""android.permission.BLUETOOTH"",""android.permission.CAMERA"",""android.permission.READ_CONTACTS"",""android.permission.READ_PROFILE"",""android.permission.ACCESS_FINE_LOCATION"",""android.permission.ACCESS_COARSE_LOCATION"",""android.permission.RECORD_AUDIO"",""android.permission.MODIFY_AUDIO_SETTINGS"",""android.permission.READ_EXTERNAL_STORAGE"",""android.permission.READ_MEDIA_IMAGES"",""android.permission.READ_MEDIA_VIDEO"",""android.permission.READ_MEDIA_VISUAL_USER_SELECTED"",""android.permission.WRITE_EXTERNAL_STORAGE"",""android.permission.ACCESS_MEDIA_LOCATION"",""android.permission.POST_NOTIFICATIONS"",""com.google.android.gms.permission.AD_ID"",""com.facebook.katana.provider.ACCESS"",""com.facebook.katana.provider.ACCESS"",""com.android.vending.BILLING"",""android.permission.ACCESS_WIFI_STATE"",""android.permission",com.instagram.barcelona.apk;config.arm64_v8a.apk;config.xxhdpi.apk,,,,,,,unknown,unknown,No React Native JS bundle or native library markers found.
