rn_guess,react_renderer,confidence,start_app_version,start_app_build,start_external_version_id,start_build_timestamp,end_app_version,end_app_build,end_external_version_id,end_build_timestamp,build_count
unknown,,low,,1000,4003333,2011-08-02T21:45:38,89.0,39433806,818893675,2016-09-19T14:44:26,5
<=0.59.x,,medium,93.0,41774394,819274182,2016-10-17T13:46:22,145.0,82143310,824651339,2017-11-28T17:09:26,4
unknown,,low,149.0,87964402,825599677,2018-01-16T14:39:26,562.0.0,975021560,885556428,2026-05-19T17:01:04,11
