from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
unknown,91.0,40546824,819099576,2016-10-02T15:12:24,<=0.59.x,92.0,41023043,819183439,2016-10-08T09:13:24
<=0.59.x,145.0,82143310,824651339,2017-11-28T17:09:26,<=0.59.x,146.0,83068889,825195544,2017-12-04T15:09:24
<=0.59.x,146.0,83068889,825195544,2017-12-04T15:09:24,<=0.59.x,147.0,84235609,825227473,2017-12-12T09:16:54
<=0.59.x,147.0,84235609,825227473,2017-12-12T09:16:54,unknown (react-native-renderer 16.2.0),148.0,86952252,825310109,2018-01-08T17:01:12
unknown (react-native-renderer 16.2.0),148.0,86952252,825310109,2018-01-08T17:01:12,unknown,149.0,87964402,825599677,2018-01-16T14:39:26
