ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
ipas/artsy/artsy_013_856546615_856546615.ipa,856546615,net.artsy.artsy,8.12.2,2023.05.04.17,2023-05-04T11:09:34,,,Payload/Artsy.app/main.jsbundle,,,0.67.x-0.68.x,medium,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker DatePickerAndroid, removed in 0.67, is absent; SegmentedControlIOS is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_014_856895726_856895726.ipa,856895726,net.artsy.artsy,8.12.3,2023.05.08.15,2023-05-08T08:55:48,,,Payload/Artsy.app/main.jsbundle,,,0.67.x-0.68.x,medium,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker DatePickerAndroid, removed in 0.67, is absent; SegmentedControlIOS is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_015_856978180_856978180.ipa,856978180,net.artsy.artsy,8.12.4,2023.05.11.19,2023-05-11T12:29:32,,,Payload/Artsy.app/main.jsbundle,,,0.67.x-0.68.x,medium,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker DatePickerAndroid, removed in 0.67, is absent; SegmentedControlIOS is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_016_857088967_857088967.ipa,857088967,net.artsy.artsy,8.12.5,2023.05.17.13,2023-05-17T07:13:10,,,Payload/Artsy.app/main.jsbundle,,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_017_861190002_861190002.ipa,861190002,net.artsy.artsy,8.25.1,2023.11.03.12,2023-11-03T05:49:26,,,Payload/Artsy.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_018_861540147_861540147.ipa,861540147,net.artsy.artsy,8.26.0,2023.11.16.15,2023-11-16T07:37:34,,,Payload/Artsy.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_019_861556565_861556565.ipa,861556565,net.artsy.artsy,8.27.0,2023.11.30.23,2023-11-30T15:46:44,,,Payload/Artsy.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_020_861901604_861901604.ipa,861901604,net.artsy.artsy,8.28.0,2023.12.13.10,2023-12-13T02:32:34,,,Payload/Artsy.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/artsy/artsy_021_862200090_862200090.ipa,862200090,net.artsy.artsy,8.29.0,2023.12.20.18,2023-12-20T10:19:36,,,Payload/Artsy.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/artsy/artsy_022_869111090_869111090.ipa,869111090,net.artsy.artsy,8.52.0,2024.09.19.14,2024-09-19T14:35:14,,,Payload/Artsy.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
