from_rn_guess,from_app_version,from_app_build,from_external_version_id,from_build_timestamp,to_rn_guess,to_app_version,to_app_build,to_external_version_id,to_build_timestamp
unknown,7.2.0,2022.02.03.14,846750580,2022-02-03T06:26:20,0.66.x,8.5.0,2023.01.04.16,853926190,2023-01-04T08:41:22
0.66.x,8.5.0,2023.01.04.16,853926190,2023-01-04T08:41:22,0.69.x-0.70.x,8.25.0,2023.11.01.10,860773949,2023-11-01T03:49:42
0.69.x-0.70.x,8.25.0,2023.11.01.10,860773949,2023-11-01T03:49:42,0.71.x,8.51.0,2024.09.18.19,868791215,2024-09-18T20:15:58
0.71.x,8.51.0,2024.09.18.19,868791215,2024-09-18T20:15:58,0.74.x-0.76.x,8.78.0,2025.07.10.14,875931219,2025-07-10T14:39:06
0.74.x-0.76.x,8.78.0,2025.07.10.14,875931219,2025-07-10T14:39:06,0.81.x,9.9.0,2026.05.20.12.45,885363722,2026-05-20T12:59:44
