ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
discord-ipas/discord_003_851692927_851692927.ipa,851692927,com.hammerandchisel.discord,141.0,34534,2022-08-19T14:35:48,,,Payload/Discord.app/main.jsbundle,84,,0.67.x-0.68.x,medium,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker DatePickerAndroid, removed in 0.67, is absent; SegmentedControlIOS is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_003_860326707_860326707.ipa,860326707,com.hammerandchisel.discord,198.0,50321,2023-09-28T23:54:12,,,Payload/Discord.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_003_873437501_873437501.ipa,873437501,com.hammerandchisel.discord,272.0,74225,2025-03-21T18:27:22,ptb,discord_ios@272.0.74225+74225,Payload/Discord.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_003_876112965_876112965.ipa,876112965,com.hammerandchisel.discord,287.0,80233,2025-07-03T19:05:34,ptb,discord_ios@287.0.80233+80233,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_003_879409695_879409695.ipa,879409695,com.hammerandchisel.discord,303.0,87530,2025-10-30T18:25:04,ptb,discord_ios@303.0.87530+87530,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_003_882025424_882025424.ipa,882025424,com.hammerandchisel.discord,314.0,92255,2026-01-29T07:36:22,ptb,discord_ios@314.0.92255+92255,Payload/Discord.app/main.jsbundle,96,19.1.0,0.81.x,high,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker has VirtualViewMode, but not the ReactNativeVersion export added in 0.82. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_003_884658698_884658698.ipa,884658698,com.hammerandchisel.discord,325.0,98988,2026-04-19T15:21:08,ptb,discord_ios@325.0.98988+98988,Payload/Discord.app/main.jsbundle,96,19.1.0,0.81.x,high,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker has VirtualViewMode, but not the ReactNativeVersion export added in 0.82. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_834665919_834665919.ipa,834665919,com.hammerandchisel.discord,3.2.0,19099,2020-02-18T17:49:32,,,Payload/Discord.app/main.jsbundle,,,0.61.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,RN 0.61 markers unstable_RootTagContext/useWindowDimensions are present and LogBox from 0.62 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_004_845885357_845885357.ipa,845885357,com.hammerandchisel.discord,106.0,29538,2021-12-17T15:06:46,,,Payload/Discord.app/main.jsbundle,76,,0.64.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers removed in 0.64 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_004_854392303_854392303.ipa,854392303,com.hammerandchisel.discord,161.0,38780,2023-01-11T23:42:36,,,Payload/Discord.app/main.jsbundle,84,,0.67.x-0.68.x,medium,false,false,true,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker DatePickerAndroid, removed in 0.67, is absent; SegmentedControlIOS is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
